Folio,Lugar Muestreo,Comuna,Temp. Amb (°C),pH,ORP (mV),O2 Sat (%),O2 (ppm),Cond (µS/cm),Cond Abs (µS/cm),TDS (ppm),Turb (FNU),Temp Agua (°C),Presión (PSI),Viento,Oleaje,Musgo,Algas,Cielo,Fósforo reactivo total (mg/L)
20250219-C,Playa los Chilcos,Villarrica,"21,04","8,71","222,8",103,"8,64",53,51,27,0,"22,55","14,258",1,3,0,1,0,"0,003"
20250219-D,Playa Linda,Villarrica,"22,43","8,7","205,6","108,5","9,19",54,51,27,"0,3","22,05","14,263",1,3,0,1,0,"0,004"
20250219-E,Playa Pucará,Villarrica,22,"8,67","204,9","105,6","8,9",55,52,27,"4,6","22,34","14,266",1,1,0,1,0,"0,01"
20250220-A,Playa Grande,Pucón,"15,74","8,26",246,"93,3","8,13",48,44,24,"0,3","20,58","14,269",1,2,0,0,2,"0,007"
20250220-B,Playa Carmelito,Pucón,"20,69","8,73","204,4","106,9","9,16",45,42,22,"0,5","21,56","14,269",1,1,0,1,0,"0,006"
20250220-C,Playa los Chilcos,Villarrica,"20,42","8,71","224,1",101,"8,57",47,44,23,"0,5","22,05","14,296",1,1,0,1,0,"0,004"
20250220-D,Playa Linda,Villarrica,"22,44","8,62","213,1","99,2","8,52",43,41,22,0,"21,49","14,305",1,1,0,0,0,"0,006"
20250220-E,Playa Pucará,Villarrica,"22,1","8,7","195,7","100,7","8,51",44,41,22,"1,9","22,32","14,298",1,1,0,1,0,"0,005"
20250220-F,Playa El Plata,Pucón,"19,05","8,55","216,7","107,8","9,29",45,41,22,"0,3","21,15","14,272",1,1,0,0,1,"0,006"
20250221-A,Playa Grande,Pucón,"18,9","8,09","255,1",96,"8,31",70,64,35,"0,4","21,03","14,286",1,2,0,0,0,"0,007"
20250221-B,Playa Carmelito,Pucón,"22,09","8,65","226,5",108,"9,07",53,51,27,"0,1","22,6","14,294",1,2,0,1,0,"0,003"
20250221-C,Playa los Chilcos,Villarrica,"23,7","8,5","213,7","92,5","7,82",58,55,29,"0,3","22,29","14,31",1,3,0,1,0,"0,004"
20250221-D,Playa Linda,Villarrica,"25,2","8,72","219,3","102,8","8,79",55,52,28,"0,1","21,74","14,317",1,1,0,1,0,"0,005"
20250221-E,Playa Pucará,Villarrica,"23,4","8,46","219,9","98,1",8,55,54,27,"25,8","24,22","14,314",1,1,0,1,0,"0,013"
20250224-A,Playa Grande,Pucón,"20,5","8,22",219,"105,4","9,1",58,54,29,"0,3","21,24","14,304",2,1,0,0,0,"0,014"
20250224-B,Playa Carmelito,Pucón,"20,47","8,8","220,9","111,6","9,32",49,47,25,0,"22,98","14,319",2,1,0,1,0,"0,006"
20250224-C,Playa los Chilcos,Villarrica,"25,36","8,9","200,9","109,5","9,24",48,46,24,0,"22,45","14,324",2,1,0,1,0,"0,004"
20250224-D,Playa Linda,Villarrica,"22,54","8,75","206,4",104,"8,84",49,47,25,0,"22,11","14,316",2,1,0,1,0,"0,004"
20250224-E,Playa Pucará,Villarrica,"23,57","8,66","216,6","96,6","8,14",50,48,25,"21,2","22,56","14,322",1,1,0,1,0,"0,016"
20250224-F,Playa El Plata,Pucón,"22,44","8,64","224,6","102,4","8,77",45,42,23,0,"21,65","14,306",0,1,0,0,0,"0,004"
20250225-A,Playa Grande,Pucón,"17,27","8,48","246,3","99,8","8,66",47,44,24,0,"20,92","14,285",1,2,0,0,0,"0,009"
20250225-B,Playa Carmelito,Pucón,"20,97","8,82","227,2","100,7","8,46",43,41,21,"0,1","22,59",14.300,1,1,0,1,0,"0,008"
20250225-C,Playa los Chilcos,Villarrica,"20,79","8,65","175,4","97,8","8,36",39,37,20,0,"21,74","14,314",1,2,0,0,0,"0,004"
20250225-D,Playa Linda,Villarrica,"26,96","9,23",186,"126,5","10,79",40,37,20,0,"21,86","14,316",1,1,0,1,0,"0,004"
20250225-E,Playa Pucará,Villarrica,"29,07","8,71","159,7",108,"9,14",38,36,19,"7,4","22,27","14,315",1,1,0,0,0,"0,006"
